Company,Rating,Location,Employee_Size,Industry,Review
TCS e-Serve International,3.8,Indore,5001 to 10000,Information Technology Support Services,410
Azilen Technologies,3.8,Indore,201 to 500,Software Development,158
Rupeek ,3.8,Indore,201 to 500,Internet & Web Services,355
GirnarSoft,3.9,Indore,1001 to 5000,Computer Hardware Development,385
CTS,3.8,Indore,51 to 200,Information Technology Support Services,398
ShareChat,3.8,Indore,1001 to 5000,Internet & Web Services,514
COVETUS,3.6,Indore,51 to 200,Information Technology Support Services,22
Springworks,4.3,Indore,201 to 500,Internet & Web Services,386
OneSource Virtual,4.0,Indore,1001 to 5000,Internet & Web Services,429
TechCoopers,4.5,Indore,1 to 50,Information Technology Support Services,23
SentinelOne ,4.7,Indore,1001 to 5000,Enterprise Software & Network Solutions,495
Teamleader,4.3,Indore,51 to 200,Enterprise Software & Network Solutions,78
Chetaru,4.3,Indore,51 to 200,Information Technology Support Services,21
6Degrees IT,4.2,Indore,51 to 200,Information Technology Support Services,20
Zeta,3.6,Indore,1001 to 5000,Software Development,447
Groww,4.0,Indore,501 to 1000,Internet & Web Services,274
5 Exceptions,4.0,Indore,51 to 200,Information Technology Support Services,24
Vena Solutions,4.2,Indore,501 to 1000,Software Development,280
JUSPAY,4.3,Indore,51 to 200,Internet & Web Services,325
Eastern Software Systems,3.5,Indore,201 to 500,Information Technology Support Services,247
BPO Systems,4.0,Indore,1 to 50,Information Technology Support Services,56
Clarigo Infotech Private Limited,4.9,Indore,1 to 50,Information Technology Support Services,17
yellow.ai,3.8,Indore,501 to 1000,Enterprise Software & Network Solutions,494
F5 Buddy,4.9,Indore,1 to 50,Information Technology Support Services,19
Sankalp Semiconductor,3.7,Indore,501 to 1000,Information Technology Support Services,305
Anyone Home,3.6,Indore,201 to 500,Enterprise Software & Network Solutions,136
GGK Tech,3.8,Indore,501 to 1000,Information Technology Support Services,419
IVL Global,3.8,Indore,501 to 1000,Information Technology Support Services,167
Uneecops Technologies,4.2,Indore,201 to 500,Information Technology Support Services,267
Qualwebs,4.3,Indore,1 to 50,Information Technology Support Services,24
Acer Group,3.9,Indore,5001 to 10000,Computer Hardware Development,492
CMS Info Systems,3.7,Indore,1001 to 5000,Computer Hardware Development,291
Quick Heal,3.6,Indore,1001 to 5000,Enterprise Software & Network Solutions,545
EPIC Information Solutions,3.5,Indore,51 to 200,Computer Hardware Development,56
Apps Associates,4.1,Indore,1001 to 5000,Information Technology Support Services,295
InnovationM,4.2,Indore,201 to 500,Computer Hardware Development,282
Turgajo,4.5,Indore,1 to 50,Computer Hardware Development,20
Immersive Infotech,4.9,Indore,51 to 200,Information Technology Support Services,18
"LMS, Inc.",3.8,Indore,51 to 200,Enterprise Software & Network Solutions,43
India Infotech,4.0,Indore,51 to 200,Information Technology Support Services,33
Parkhya Solutions,4.4,Indore,51 to 200,Information Technology Support Services,24
Lotus Interworks,4.3,Indore,1 to 50,Computer Hardware Development,154
Atidiv,4.5,Indore,201 to 500,Information Technology Support Services,166
Ketto,4.6,Indore,1 to 50,Internet & Web Services,303
Shorewise Consulting,4.1,Indore,501 to 1000,Information Technology Support Services,100
Appointy,4.2,Indore,51 to 200,Enterprise Software & Network Solutions,89
